entity,fact,text
dacapo,"Dacapo is involved in the introduction of G1 during Drosophila embryogenesis, with a function complementary to rbf.","Entity: dacapo. Dacapo is involved in the introduction of G1 during Drosophila embryogenesis, with a function complementary to rbf."
gamma-globin,Developmental silencing of gamma-globin genes is unaffected by deletion of a DNA element in the beta-globin locus.,Entity: gamma-globin. Developmental silencing of gamma-globin genes is unaffected by deletion of a DNA element in the beta-globin locus.
pervanadate,"Pervanadate, in combination with H2O2, induces nuclear translocation of Ag-STAT protein in midgut epithelial cells of Anopheles gambiae.","Entity: pervanadate. SMILES: O=[V]([O-])([O-])[O-].OO.OO.OO.[Na+].[Na+].[Na+]. Pervanadate, in combination with H2O2, induces nuclear translocation of Ag-STAT protein in midgut epithelial cells of Anopheles gambiae."
D-STAT,"D-STAT is a Drosophila STAT family member that is most similar to Ag-STAT and vertebrate STATs 5 and 6, forming a proposed ancient class A of the STAT family.","Entity: D-STAT. D-STAT is a Drosophila STAT family member that is most similar to Ag-STAT and vertebrate STATs 5 and 6, forming a proposed ancient class A of the STAT family."
Pip,"Pip is recruited to its DNA binding site by phosphorylated PU.1, which binds to the ets and IRF DNA-binding domains and the phosphorylated PEST region of PU.1 and a lysine-requiring putative alpha-helix in Pip.","Entity: Pip. Pip is recruited to its DNA binding site by phosphorylated PU.1, which binds to the ets and IRF DNA-binding domains and the phosphorylated PEST region of PU.1 and a lysine-requiring putative alpha-helix in Pip."
Pip,Pip (IRF-4) is an IRF protein that interacts with PU.1 to regulate B cell-specific gene expression.,Entity: Pip. Pip (IRF-4) is an IRF protein that interacts with PU.1 to regulate B cell-specific gene expression.
Sec3p,Sec3p is a subunit of the exocyst that marks the sites of exocytosis on the plasma membrane.,Entity: Sec3p. Sec3p is a subunit of the exocyst that marks the sites of exocytosis on the plasma membrane.
CD8,CD8(+) T cells recognize antigenic peptides presented by MHC class I molecules.,Entity: CD8. CD8(+) T cells recognize antigenic peptides presented by MHC class I molecules.
cdc37,"cdc37 is an Hsp90 chaperone protein that forms a heterodimer with p50(cdc37), which is required for Raf-1 activity and MAPK pathway signaling.","Entity: cdc37. cdc37 is an Hsp90 chaperone protein that forms a heterodimer with p50(cdc37), which is required for Raf-1 activity and MAPK pathway signaling."
cyclobutane pyrimidine,"Cyclobutane pyrimidine dimers on UV-irradiated mononucleosomes are substantially less accessible to T4 endonuclease V than on naked DNA, indicating that Gadd45 reduces DNA accessibility to this enzyme in response to UV-induced chromatin alterations.","Entity: cyclobutane pyrimidine. SMILES: C1CCC1.c1cncnc1. Cyclobutane pyrimidine dimers on UV-irradiated mononucleosomes are substantially less accessible to T4 endonuclease V than on naked DNA, indicating that Gadd45 reduces DNA accessibility to this enzyme in response to UV-induced chromatin alterations."
C/EBPbeta,C/EBPbeta is an intronless gene that produces several N-terminally truncated isoforms through alternative translation initiation at downstream AUG codons.,Entity: C/EBPbeta. C/EBPbeta is an intronless gene that produces several N-terminally truncated isoforms through alternative translation initiation at downstream AUG codons.
C/EBPbeta,"In C/EBPalpha-/- mice, the proteolytic cleavage activity that generates the 21-kDa LIP isoform of C/EBPbeta is completely abolished, correlating with decreased liver levels of LIP.","Entity: C/EBPbeta. In C/EBPalpha-/- mice, the proteolytic cleavage activity that generates the 21-kDa LIP isoform of C/EBPbeta is completely abolished, correlating with decreased liver levels of LIP."
C/EBPbeta,"C/EBPbeta can generate four isoforms: a full-length 38-kDa protein, a 35-kDa LAP (liver-enriched transcriptional activator protein), a 21-kDa LIP (liver-enriched transcriptional inhibitory protein), and a 14-kDa isoform.","Entity: C/EBPbeta. C/EBPbeta can generate four isoforms: a full-length 38-kDa protein, a 35-kDa LAP (liver-enriched transcriptional activator protein), a 21-kDa LIP (liver-enriched transcriptional inhibitory protein), and a 14-kDa isoform."
C/EBPbeta,"The 21-kDa LIP isoform of C/EBPbeta can be produced by alternative translation and by a C/EBPalpha-dependent, specific proteolytic cleavage of full-length C/EBPbeta.","Entity: C/EBPbeta. The 21-kDa LIP isoform of C/EBPbeta can be produced by alternative translation and by a C/EBPalpha-dependent, specific proteolytic cleavage of full-length C/EBPbeta."
SC35,SC35 is a serine/arginine (SR)-rich splicing factor that can activate specific classes of selected splicing enhancer elements in S100 complementation assays.,Entity: SC35. SC35 is a serine/arginine (SR)-rich splicing factor that can activate specific classes of selected splicing enhancer elements in S100 complementation assays.
9G8,9G8 is a serine/arginine (SR)-rich splicing factor that can activate specific classes of selected splicing enhancer elements in S100 complementation assays.,Entity: 9G8. 9G8 is a serine/arginine (SR)-rich splicing factor that can activate specific classes of selected splicing enhancer elements in S100 complementation assays.
doublesex,Doublesex is a transcription factor that acts as a pre-mRNA enhancer-dependent splicing substrate in Drosophila.,Entity: doublesex. Doublesex is a transcription factor that acts as a pre-mRNA enhancer-dependent splicing substrate in Drosophila.
SF2,SF2 is a serine/arginine (SR)-rich splicing factor capable of activating specific classes of selected splicing enhancer elements in S100 complementation assays.,Entity: SF2. SF2 is a serine/arginine (SR)-rich splicing factor capable of activating specific classes of selected splicing enhancer elements in S100 complementation assays.
CDC42,"Ral-GEF activity may function, at least in part, through inhibition of the Rho family GTPase CDC42.","Entity: CDC42. Ral-GEF activity may function, at least in part, through inhibition of the Rho family GTPase CDC42."
Ral-GEF,"Ral-GEF activity acts in opposition to other Ras effectors, such as Raf and PI3 kinases, in PC12 cells.","Entity: Ral-GEF. Ral-GEF activity acts in opposition to other Ras effectors, such as Raf and PI3 kinases, in PC12 cells."
Ral-GEF,"Ral-GEF activity, when inhibited by expression of a dominant negative Ral mutant, accelerates cell cycle arrest and enhances neurite outgrowth in response to nerve growth factor (NGF) treatment in PC12 cells.","Entity: Ral-GEF. Ral-GEF activity, when inhibited by expression of a dominant negative Ral mutant, accelerates cell cycle arrest and enhances neurite outgrowth in response to nerve growth factor (NGF) treatment in PC12 cells."
Rgr,"Rgr is a Ral-specific guanine nucleotide exchange factor (Ral-GEF) whose catalytic domain, when expressed in PC12 cells, suppresses cell cycle arrest and neurite outgrowth induced by nerve growth factor (NGF) treatment.","Entity: Rgr. Rgr is a Ral-specific guanine nucleotide exchange factor (Ral-GEF) whose catalytic domain, when expressed in PC12 cells, suppresses cell cycle arrest and neurite outgrowth induced by nerve growth factor (NGF) treatment."
Ral-GEF,Ral-GEF activity can be elevated by transfection of a mutant Ras protein that preferentially activates Ral-GEFs or by transfection of the catalytic domain of the Ral-GEF Rgr.,Entity: Ral-GEF. Ral-GEF activity can be elevated by transfection of a mutant Ras protein that preferentially activates Ral-GEFs or by transfection of the catalytic domain of the Ral-GEF Rgr.
Ral-GEF,Ral-GEF signaling induced by nerve growth factor (NGF) delays the onset of cell cycle arrest and neurite outgrowth induced by other Ras effectors.,Entity: Ral-GEF. Ral-GEF signaling induced by nerve growth factor (NGF) delays the onset of cell cycle arrest and neurite outgrowth induced by other Ras effectors.
wortmannin,"Wortmannin, a phosphatidylinositol 3-kinase inhibitor, specifically blocks UV-stimulated activation of JNK1 but does not affect UV-driven activation of ERK2 in NIH 3T3 cells.","Entity: wortmannin. SMILES: COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O. Wortmannin, a phosphatidylinositol 3-kinase inhibitor, specifically blocks UV-stimulated activation of JNK1 but does not affect UV-driven activation of ERK2 in NIH 3T3 cells."
mafosfamide,"Mafosfamide, an antineoplastic drug, does not elicit activation of JNK1 or increased c-Jun protein and AP-1 binding activity in NIH 3T3 cells upon UV-C or methyl methanesulfonate treatment.","Entity: mafosfamide. SMILES: O=[P@@]1(N(CCCl)CCCl)N[C@@H](SCCS(=O)(=O)O)CCO1. Mafosfamide, an antineoplastic drug, does not elicit activation of JNK1 or increased c-Jun protein and AP-1 binding activity in NIH 3T3 cells upon UV-C or methyl methanesulfonate treatment."
methyl methanesulfonate,Methyl methanesulfonate (MMS) treatment activates JNK1 and increases c-Jun protein and AP-1 binding activity in NIH 3T3 cells.,Entity: methyl methanesulfonate. SMILES: COS(C)(=O)=O. Methyl methanesulfonate (MMS) treatment activates JNK1 and increases c-Jun protein and AP-1 binding activity in NIH 3T3 cells.
eth1,Elimination of ETH1 in apn1 yeast strains increases spontaneous mutation rates as measured by reversion to adenine prototrophy by 9-fold and to lysine prototrophy by 31-fold compared to wild type.,Entity: eth1. Elimination of ETH1 in apn1 yeast strains increases spontaneous mutation rates as measured by reversion to adenine prototrophy by 9-fold and to lysine prototrophy by 31-fold compared to wild type.
eth1,"In Saccharomyces cerevisiae, eth1 encodes a putative protein homologous to the exonuclease III family of AP endonucleases, with a 347-residue segment showing 34% identity to the Schizosaccharomyces pombe eth1(+) gene product.","Entity: eth1. In Saccharomyces cerevisiae, eth1 encodes a putative protein homologous to the exonuclease III family of AP endonucleases, with a 347-residue segment showing 34% identity to the Schizosaccharomyces pombe eth1(+) gene product."
eth1,"Expression of ETH1 mRNA in apn1 yeast strains increases sensitivity to methyl methanesulfonate (MMS) by approximately 15-fold and to hydrogen peroxide by 2- to 3-fold, and also increases sensitivity to phleomycin D1.","Entity: eth1. Expression of ETH1 mRNA in apn1 yeast strains increases sensitivity to methyl methanesulfonate (MMS) by approximately 15-fold and to hydrogen peroxide by 2- to 3-fold, and also increases sensitivity to phleomycin D1."
APN1,"APN1 is the major AP endonuclease gene in Saccharomyces cerevisiae, encoding a protein required for base excision repair of DNA.","Entity: APN1. APN1 is the major AP endonuclease gene in Saccharomyces cerevisiae, encoding a protein required for base excision repair of DNA."
Pak1,Pak1 is a serine threonine kinase that is activated downstream of Ras via the Rac/Cdc42 pathway.,Entity: Pak1. Pak1 is a serine threonine kinase that is activated downstream of Ras via the Rac/Cdc42 pathway.
Cdc42,Cdc42 is a small G protein that is activated downstream of PI 3-kinase and acts as an effector of Rac.,Entity: Cdc42. Cdc42 is a small G protein that is activated downstream of PI 3-kinase and acts as an effector of Rac.
Pak1,"Pak1 activation is necessary, but not sufficient, for cooperative transformation of Rat-1 fibroblasts by Ras, Rac, and Rho.","Entity: Pak1. Pak1 activation is necessary, but not sufficient, for cooperative transformation of Rat-1 fibroblasts by Ras, Rac, and Rho."
extracellular signal-activated kinase,Extracellular signal-activated kinase (ERK) is activated downstream of Ras via the Ras > Raf > Mek > ERK cascade.,Entity: extracellular signal-activated kinase. Extracellular signal-activated kinase (ERK) is activated downstream of Ras via the Ras > Raf > Mek > ERK cascade.
Pak1,"Pak1 activation is dependent on cooperation between Ras, PI 3-kinase, and Rac/Cdc42, as shown by synergistic activation in transformation assays.","Entity: Pak1. Pak1 activation is dependent on cooperation between Ras, PI 3-kinase, and Rac/Cdc42, as shown by synergistic activation in transformation assays."
phosphotyrosine,"Phosphotyrosine residues can be recognized by the SH2 domains of RasGAP, mediating its binding to tyrosine-phosphorylated proteins and influencing its intracellular localization and activity.","Entity: phosphotyrosine. SMILES: N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)O. Phosphotyrosine residues can be recognized by the SH2 domains of RasGAP, mediating its binding to tyrosine-phosphorylated proteins and influencing its intracellular localization and activity."
p120 Ras-GAP,"The in vivo effects of p120 Ras-GAP overexpression require intact SH2 domains, indicating that SH2-phosphotyrosine interactions are important for its activity.","Entity: p120 Ras-GAP. The in vivo effects of p120 Ras-GAP overexpression require intact SH2 domains, indicating that SH2-phosphotyrosine interactions are important for its activity."
p120 Ras-GAP,p120 Ras-GAP is tyrosine phosphorylated in embryos and its Src homology 2 (SH2) domains can bind in vitro to a small number of tyrosine-phosphorylated proteins expressed at various developmental stages.,Entity: p120 Ras-GAP. p120 Ras-GAP is tyrosine phosphorylated in embryos and its Src homology 2 (SH2) domains can bind in vitro to a small number of tyrosine-phosphorylated proteins expressed at various developmental stages.
Breathless,Breathless is a Drosophila receptor tyrosine kinase of the fibroblast growth factor receptor family.,Entity: Breathless. Breathless is a Drosophila receptor tyrosine kinase of the fibroblast growth factor receptor family.
p120 Ras-GAP,p120 Ras-GAP can function as an inhibitor of signaling pathways mediated by Ras and receptor tyrosine kinases in vivo.,Entity: p120 Ras-GAP. p120 Ras-GAP can function as an inhibitor of signaling pathways mediated by Ras and receptor tyrosine kinases in vivo.
p120 Ras-GAP,Genetic interactions suggest that p120 Ras-GAP has a Ras-independent role in the regulation of growth.,Entity: p120 Ras-GAP. Genetic interactions suggest that p120 Ras-GAP has a Ras-independent role in the regulation of growth.
p120 Ras-GAP,Ectopic expression of p120 Ras-GAP in the Drosophila wing imaginal disc reduces the size of the adult wing by up to 45% and suppresses ectopic wing vein formation caused by activated forms of Breathless and Heartless.,Entity: p120 Ras-GAP. Ectopic expression of p120 Ras-GAP in the Drosophila wing imaginal disc reduces the size of the adult wing by up to 45% and suppresses ectopic wing vein formation caused by activated forms of Breathless and Heartless.
p120 Ras-GAP,p120 Ras-GAP is a mammalian Ras GTPase-activating protein (GAP) that acts as both a downregulator and effector of Ras proteins.,Entity: p120 Ras-GAP. p120 Ras-GAP is a mammalian Ras GTPase-activating protein (GAP) that acts as both a downregulator and effector of Ras proteins.
p120 Ras-GAP,p120 Ras-GAP stimulates the intrinsic GTPase activity of normal mammalian H-Ras but not that of the oncogenic Val12 mutant H-Ras.,Entity: p120 Ras-GAP. p120 Ras-GAP stimulates the intrinsic GTPase activity of normal mammalian H-Ras but not that of the oncogenic Val12 mutant H-Ras.
Heartless,Heartless is a Drosophila receptor tyrosine kinase of the fibroblast growth factor receptor family.,Entity: Heartless. Heartless is a Drosophila receptor tyrosine kinase of the fibroblast growth factor receptor family.
maturation-promoting factor,"The maturation-promoting factor (MPF) pathway, when activated by cyclin B1 RNA or purified cyclin B1 protein, induces Mos protein accumulation and Mos mRNA polyadenylation in Xenopus oocytes, but this action of MPF requires MAPK activity.","Entity: maturation-promoting factor. The maturation-promoting factor (MPF) pathway, when activated by cyclin B1 RNA or purified cyclin B1 protein, induces Mos protein accumulation and Mos mRNA polyadenylation in Xenopus oocytes, but this action of MPF requires MAPK activity."
cyclin B1,"Cyclin B1 is involved in the activation of the maturation-promoting factor (MPF) pathway, which induces Mos protein accumulation and Mos mRNA polyadenylation in Xenopus oocytes.","Entity: cyclin B1. Cyclin B1 is involved in the activation of the maturation-promoting factor (MPF) pathway, which induces Mos protein accumulation and Mos mRNA polyadenylation in Xenopus oocytes."
Mos,Progesterone-induced Mos mRNA polyadenylation in Xenopus oocytes is attenuated by the MAPK phosphatase rVH6.,Entity: Mos. Progesterone-induced Mos mRNA polyadenylation in Xenopus oocytes is attenuated by the MAPK phosphatase rVH6.
Mos,MAPK-stimulated Mos mRNA cytoplasmic polyadenylation is a key component of the positive-feedback loop that contributes to the all-or-none process of oocyte maturation.,Entity: Mos. MAPK-stimulated Mos mRNA cytoplasmic polyadenylation is a key component of the positive-feedback loop that contributes to the all-or-none process of oocyte maturation.
MAPK,"The MAPK signaling pathway mediates progesterone-stimulated oocyte maturation in Xenopus by activating the MAPK pathway, which is required for MPF-mediated Mos protein accumulation and mRNA polyadenylation.","Entity: MAPK. The MAPK signaling pathway mediates progesterone-stimulated oocyte maturation in Xenopus by activating the MAPK pathway, which is required for MPF-mediated Mos protein accumulation and mRNA polyadenylation."
Mos,Mos protein kinase is a key regulator of vertebrate oocyte maturation.,Entity: Mos. Mos protein kinase is a key regulator of vertebrate oocyte maturation.
Mos,Both the MAPK and maturation-promoting factor (MPF) signaling pathways mediate progesterone-stimulated oocyte maturation in Xenopus.,Entity: Mos. Both the MAPK and maturation-promoting factor (MPF) signaling pathways mediate progesterone-stimulated oocyte maturation in Xenopus.
Mos,"Activation of the maturation-promoting factor (MPF) pathway by cyclin B1 RNA or purified cyclin B1 protein induces Mos protein accumulation and Mos mRNA polyadenylation in oocytes, but this action of MPF requires MAPK activity.","Entity: Mos. Activation of the maturation-promoting factor (MPF) pathway by cyclin B1 RNA or purified cyclin B1 protein induces Mos protein accumulation and Mos mRNA polyadenylation in oocytes, but this action of MPF requires MAPK activity."
Mos,"In Xenopus oocytes, the translation of Mos protein requires progesterone-induced polyadenylation of maternal Mos mRNA.","Entity: Mos. In Xenopus oocytes, the translation of Mos protein requires progesterone-induced polyadenylation of maternal Mos mRNA."
Mos,Activation of the MAPK pathway by Mos RNA injection induces both polyadenylation of synthetic Mos mRNA substrates and accumulation of endogenous Mos protein in oocytes.,Entity: Mos. Activation of the MAPK pathway by Mos RNA injection induces both polyadenylation of synthetic Mos mRNA substrates and accumulation of endogenous Mos protein in oocytes.
msh2,"msh2 is a gene involved in mismatch repair in Saccharomyces cerevisiae, and its disruption leads to increased mutation rates when combined with pol3-01 mutations.","Entity: msh2. msh2 is a gene involved in mismatch repair in Saccharomyces cerevisiae, and its disruption leads to increased mutation rates when combined with pol3-01 mutations."
Exo1,Exo1 is a 5'-->3' DNA polymerase exonuclease that plays an important role in mismatch repair and replication fidelity in Saccharomyces cerevisiae.,Entity: Exo1. Exo1 is a 5'-->3' DNA polymerase exonuclease that plays an important role in mismatch repair and replication fidelity in Saccharomyces cerevisiae.
msh6,msh6 is a gene involved in mismatch repair in Saccharomyces cerevisiae.,Entity: msh6. msh6 is a gene involved in mismatch repair in Saccharomyces cerevisiae.
msh3,msh3 is a gene involved in mismatch repair in Saccharomyces cerevisiae.,Entity: msh3. msh3 is a gene involved in mismatch repair in Saccharomyces cerevisiae.
Prp24p,Prp24p is a component of the yeast spliceosomal snRNP and its mutation leads to disassembly of the U4/U6 snRNP particle and degradation of the U6 snRNA.,Entity: Prp24p. Prp24p is a component of the yeast spliceosomal snRNP and its mutation leads to disassembly of the U4/U6 snRNP particle and degradation of the U6 snRNA.
sad1-1,"sad1-1 extracts fail to splice pre-mRNA substrates in vitro, indicating a block in splicing at the nuclear level.","Entity: sad1-1. sad1-1 extracts fail to splice pre-mRNA substrates in vitro, indicating a block in splicing at the nuclear level."
sad1-1,sad1-1 is a yeast mutant with a splicing defect that preferentially affects assembly of newly synthesized U4 snRNA into the U4/U6 snRNP particle.,Entity: sad1-1. sad1-1 is a yeast mutant with a splicing defect that preferentially affects assembly of newly synthesized U4 snRNA into the U4/U6 snRNP particle.
Prp3p,Prp3p is a component of the yeast spliceosomal snRNP and its mutation leads to disassembly of the U4/U6 snRNP particle and degradation of the U6 snRNA.,Entity: Prp3p. Prp3p is a component of the yeast spliceosomal snRNP and its mutation leads to disassembly of the U4/U6 snRNP particle and degradation of the U6 snRNA.
Prp4p,Prp4p is a component of the yeast spliceosomal snRNP and its mutation leads to disassembly of the U4/U6 snRNP particle and degradation of the U6 snRNA.,Entity: Prp4p. Prp4p is a component of the yeast spliceosomal snRNP and its mutation leads to disassembly of the U4/U6 snRNP particle and degradation of the U6 snRNA.
sad1-1,"sad1-1 is severely impaired in splicing at the restrictive temperature, with RP29 pre-mRNA strongly accumulating and splicing-dependent production of beta-galactosidase from reporter constructs being abolished.","Entity: sad1-1. sad1-1 is severely impaired in splicing at the restrictive temperature, with RP29 pre-mRNA strongly accumulating and splicing-dependent production of beta-galactosidase from reporter constructs being abolished."
Nrg1,Nrg1 is a 25-kDa C2H2 zinc finger protein that acts as a transcriptional repressor by specifically binding to two regions in the upstream activation sequence of the STA1 gene in Saccharomyces cerevisiae.,Entity: Nrg1. Nrg1 is a 25-kDa C2H2 zinc finger protein that acts as a transcriptional repressor by specifically binding to two regions in the upstream activation sequence of the STA1 gene in Saccharomyces cerevisiae.
tup1,Tup1 is a component of the Ssn6-Tup1 complex that interacts with Nrg1 and mediates glucose-dependent repression of gene transcription.,Entity: tup1. Tup1 is a component of the Ssn6-Tup1 complex that interacts with Nrg1 and mediates glucose-dependent repression of gene transcription.
Nrg1,Disruption of the NRG1 gene in Saccharomyces cerevisiae causes a fivefold increase in the level of the STA1 transcript in the presence of glucose.,Entity: Nrg1. Disruption of the NRG1 gene in Saccharomyces cerevisiae causes a fivefold increase in the level of the STA1 transcript in the presence of glucose.
Nrg1,The expression of NRG1 itself is inhibited in the absence of glucose in Saccharomyces cerevisiae.,Entity: Nrg1. The expression of NRG1 itself is inhibited in the absence of glucose in Saccharomyces cerevisiae.
Nrg1,DNA-bound LexA-Nrg1 represses transcription of a target gene 10.7-fold in a glucose-dependent manner in Saccharomyces cerevisiae.,Entity: Nrg1. DNA-bound LexA-Nrg1 represses transcription of a target gene 10.7-fold in a glucose-dependent manner in Saccharomyces cerevisiae.
Nrg1,"Nrg1 interacts with Ssn6 both in vivo and in vitro, as shown by two-hybrid and glutathione S-transferase pull-down experiments.","Entity: Nrg1. Nrg1 interacts with Ssn6 both in vivo and in vitro, as shown by two-hybrid and glutathione S-transferase pull-down experiments."
Nrg1,Nrg1 mediates glucose repression of STA1 gene expression by recruiting the Ssn6-Tup1 complex to DNA.,Entity: Nrg1. Nrg1 mediates glucose repression of STA1 gene expression by recruiting the Ssn6-Tup1 complex to DNA.
ssn6,Ssn6 is a component of the Ssn6-Tup1 complex that interacts with Nrg1 and mediates glucose-dependent repression of gene transcription.,Entity: ssn6. Ssn6 is a component of the Ssn6-Tup1 complex that interacts with Nrg1 and mediates glucose-dependent repression of gene transcription.
forskolin,"Forskolin was used at a concentration of 10 µM to stimulate transfected cells for 72 hours in a culture medium supplemented with 5% calf serum, 3.6 ng/ml cortisol, 5 µg/ml transferrin, 10 ng/ml glycyl-L-histidyl-L-lysine acetate, 10 ng/ml somatostatin, and 1 mU bovine TSH for 72 hours in a luciferase and CAT reporter assay.","Entity: forskolin. SMILES: C=C[C@@]1(C)CC(=O)[C@]2(O)[C@@]3(C)[C@@H](O)CCC(C)(C)[C@@H]3[C@H](O)[C@H](OC(C)=O)[C@@]2(C)O1. Forskolin was used at a concentration of 10 µM to stimulate transfected cells for 72 hours in a culture medium supplemented with 5% calf serum, 3.6 ng/ml cortisol, 5 µg/ml transferrin, 10 ng/ml glycyl-L-histidyl-L-lysine acetate, 10 ng/ml somatostatin, and 1 mU bovine TSH for 72 hours in a luciferase and CAT reporter assay."
somatostatin,Somatostatin was included at a concentration of 10 ng/ml in the culture medium for 72 hours to study its effect on transfected cells in a luciferase and CAT reporter assay.,Entity: somatostatin. SMILES: C[C@H](N)C(=O)NCC(=O)N[C@H]1CSSC[C@@H](C(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCCN)NC1=O. Somatostatin was included at a concentration of 10 ng/ml in the culture medium for 72 hours to study its effect on transfected cells in a luciferase and CAT reporter assay.
glycyl-L-histidyl-L-lysine acetate,Glycyl-L-histidyl-L-lysine acetate was used at a concentration of 10 ng/ml in the culture medium for 72 hours to assess its effect on transfected cells in a luciferase and CAT reporter assay.,Entity: glycyl-L-histidyl-L-lysine acetate. SMILES: CC(=O)O.NCCCC[C@H](NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)CN)C(=O)O. Glycyl-L-histidyl-L-lysine acetate was used at a concentration of 10 ng/ml in the culture medium for 72 hours to assess its effect on transfected cells in a luciferase and CAT reporter assay.
Pax8,"Expression of Pax8 in nonthyroid cells results in transcriptional activation of the Na/I symporter (NIS) upstream enhancer (NUE), indicating a role for Pax8 in enhancer activity.","Entity: Pax8. Expression of Pax8 in nonthyroid cells results in transcriptional activation of the Na/I symporter (NIS) upstream enhancer (NUE), indicating a role for Pax8 in enhancer activity."
protein kinase A,The Na/I symporter (NIS) upstream enhancer (NUE) responds to cAMP through both protein kinase A-dependent and -independent mechanisms.,Entity: protein kinase A. The Na/I symporter (NIS) upstream enhancer (NUE) responds to cAMP through both protein kinase A-dependent and -independent mechanisms.
Pax8,"Pax8 is a thyroid-specific transcription factor that binds to two of the four relevant sites in the Na/I symporter (NIS) upstream enhancer (NUE), and its binding is required for enhancer activity.","Entity: Pax8. Pax8 is a thyroid-specific transcription factor that binds to two of the four relevant sites in the Na/I symporter (NIS) upstream enhancer (NUE), and its binding is required for enhancer activity."
Groucho,Groucho does not form stable associations with other proteins in the nucleus but may assemble into homomultimeric complexes.,Entity: Groucho. Groucho does not form stable associations with other proteins in the nucleus but may assemble into homomultimeric complexes.
Engrailed,"Engrailed contains an En homology region 1 (eh1)/GEH motif, which is likely involved in tethering the Groucho corepressor to the promoter.","Entity: Engrailed. Engrailed contains an En homology region 1 (eh1)/GEH motif, which is likely involved in tethering the Groucho corepressor to the promoter."
Groucho,"Groucho is a corepressor that is recruited to target promoters by short peptide motifs such as WRPW and eh1/GEH, and is required for the function of repressors like Engrailed and Goosecoid.","Entity: Groucho. Groucho is a corepressor that is recruited to target promoters by short peptide motifs such as WRPW and eh1/GEH, and is required for the function of repressors like Engrailed and Goosecoid."
Goosecoid,"Goosecoid is a developmental regulator whose repressor domain (GscR) includes an eh1/GEH-like motif, mediating efficient repression in Drosophila blastoderm embryos that requires Groucho corepressor function.","Entity: Goosecoid. Goosecoid is a developmental regulator whose repressor domain (GscR) includes an eh1/GEH-like motif, mediating efficient repression in Drosophila blastoderm embryos that requires Groucho corepressor function."
Engrailed,Engrailed is a developmental repressor that requires association with the Groucho corepressor for its function.,Entity: Engrailed. Engrailed is a developmental repressor that requires association with the Groucho corepressor for its function.
ionomycin,"Ionomycin is a pharmacological mimic of T-cell receptor activation that induces upregulation of Fas (CD95) expression in Jurkat T-cells, leading to approximately 10-fold increase in fas mRNA within 2 hours.","Entity: ionomycin. SMILES: C[C@H](CCC(=O)O)C[C@H](C)C[C@H](C)C(=O)/C=C(\O)[C@H](C)C[C@H](C)C/C=C/[C@@H](C)[C@@H](O)[C@@H](C)[C@@H](O)C[C@@H]1CC[C@@](C)([C@H]2CC[C@@](C)([C@@H](C)O)O2)O1. Ionomycin is a pharmacological mimic of T-cell receptor activation that induces upregulation of Fas (CD95) expression in Jurkat T-cells, leading to approximately 10-fold increase in fas mRNA within 2 hours."
SWM1,Homozygous swm1Delta diploids can undergo both meiotic divisions but fail to produce mature asci due to defects in spore wall formation.,Entity: SWM1. Homozygous swm1Delta diploids can undergo both meiotic divisions but fail to produce mature asci due to defects in spore wall formation.
SWM1,Deletion of SWM1 specifically affects the expression of mid-late and late sporulation-specific genes in Saccharomyces cerevisiae.,Entity: SWM1. Deletion of SWM1 specifically affects the expression of mid-late and late sporulation-specific genes in Saccharomyces cerevisiae.
SWM1,"SWM1 is expressed at low levels during vegetative growth but is strongly induced under sporulating conditions, with kinetics similar to middle sporulation-specific genes.","Entity: SWM1. SWM1 is expressed at low levels during vegetative growth but is strongly induced under sporulating conditions, with kinetics similar to middle sporulation-specific genes."
SWM1,"Swm1p, the product of the SWM1 gene, is a nuclear protein that participates in a signal transduction pathway distinct from the Sps1p-Smk1p-MAP kinase pathway and is required for coordination of biochemical and morphological events during the last phase of sporulation.","Entity: SWM1. Swm1p, the product of the SWM1 gene, is a nuclear protein that participates in a signal transduction pathway distinct from the Sps1p-Smk1p-MAP kinase pathway and is required for coordination of biochemical and morphological events during the last phase of sporulation."
SMK1,"SMK1 is a putative component of a sporulation-specific MAP kinase cascade in Saccharomyces cerevisiae, and its deletion produces phenotypes similar to swm1Delta mutants.","Entity: SMK1. SMK1 is a putative component of a sporulation-specific MAP kinase cascade in Saccharomyces cerevisiae, and its deletion produces phenotypes similar to swm1Delta mutants."
SPS1,"SPS1 is a putative component of a sporulation-specific MAP kinase cascade in Saccharomyces cerevisiae, and its deletion produces phenotypes similar to swm1Delta mutants.","Entity: SPS1. SPS1 is a putative component of a sporulation-specific MAP kinase cascade in Saccharomyces cerevisiae, and its deletion produces phenotypes similar to swm1Delta mutants."
